,date_time,city,state,country,shape,duration_seconds,latitude_deg,longitude_deg,date,time,year,zip_code
465,10/11/11 15:00,Cedar City,UT,US,light,8,37.6775,-113.0611111,10/11/11,15:00,11,84720
466,10/11/11 19:40,Des Moines,IA,US,light,90,41.6005556,-93.6088889,10/11/11,19:40,11,50316
467,10/11/11 19:42,New Bedford,MA,US,circle,1800,41.6361111,-70.9347222,10/11/11,19:42,11,02740
468,10/11/11 21:00,Monroe,CT,US,,300,41.3325,-73.2077778,10/11/11,21:00,11,06468
469,10/11/11 21:10,Holden Beach,NC,US,circle,30,33.9133333,-78.3041667,10/11/11,21:10,11,28462
470,10/11/11 23:23,Harrodsburg,KY,US,unknown,480,37.7622222,-84.8433333,10/11/11,23:23,11,40330
471,10/11/12 1:00,Worcester,MA,US,unknown,4,42.2625,-71.8027778,10/11/12,1:00,12,01609
472,10/11/12 2:45,Watchung (Was My Perspective),NJ,US,sphere,3600,40.6377778,-74.4513889,10/11/12,2:45,12,07069
473,10/11/12 4:00,Tewksbury,MA,US,light,2,42.6105556,-71.2347222,10/11/12,4:00,12,01876
476,10/11/12 8:00,Angola,IN,US,cigar,7200,41.6347222,-84.9994444,10/11/12,8:00,12,46703
477,10/11/12 14:06,Yakima,WA,US,unknown,0,46.6022222,-120.5047222,10/11/12,14:06,12,98901
478,10/11/12 19:30,Arbutus,MD,US,light,300,39.2544444,-76.7002778,10/11/12,19:30,12,21227
479,10/11/12 19:30,Forty Fort,PA,US,fireball,720,41.2788889,-75.8786111,10/11/12,19:30,12,18704
480,10/11/12 19:45,Saratoga Springs,NY,US,circle,300,43.0830556,-73.785,10/11/12,19:45,12,12866
481,10/11/12 20:00,Nanticoke,PA,US,diamond,60,41.2052778,-76.0052778,10/11/12,20:00,12,18634
482,10/11/12 20:30,Las Cruces,NM,US,fireball,120,32.3122222,-106.7777778,10/11/12,20:30,12,88001
483,10/11/12 20:42,Ravensdale,WA,US,triangle,10,47.3525,-121.9825,10/11/12,20:42,12,98051
