latitude_deg,longitude_deg,city,zip_code,county,state,country
35.8752778,-110.61972220000001,Kykotsmovi,86039.0,Navajo County,Arizona,United States
42.6525,-73.7566667,Albany,12210.0,Albany County,New York,United States
33.773888899999996,-117.94055559999998,Garden Grove,92843.0,Orange County,California,United States
25.7738889,-80.1938889,Miami,33130.0,Miami-Dade County,Florida,United States
33.8352778,-117.9136111,Anaheim,92805.0,Orange County,California,United States
42.728333299999996,-73.6922222,Troy,12180.0,Rensselaer County,New York,United States
36.728055600000005,-108.21805559999999,Farmington,87401.0,San Juan County,New Mexico,United States
34.61,-112.315,Prescott Valley,86314.0,Yavapai County,Arizona,United States
42.096388899999994,-79.3758333,Ashville,14710.0,Chautauqua County,New York,United States
41.55,-71.4666667,North Kingstown,2852.0,Washington County,Rhode Island,United States
41.35,-72.07888890000001,Groton,6340.0,New London County,Connecticut,United States
37.608611100000005,-77.37361109999999,Mechanicsville,23111.0,Hanover County,Virginia,United States
41.5622222,-72.6511111,Middletown,6457.0,Middlesex County,Connecticut,United States
41.481944399999996,-81.7983333,Lakewood,44107.0,Cuyahoga County,Ohio,United States
39.9625,-76.7280556,York,17401.0,York County,Pennsylvania,United States
41.1238889,-100.765,North Platte,69101.0,Lincoln County,Nebraska,United States
39.5297222,-84.0866667,Waynesville,45068.0,Warren County,Ohio,United States
41.1669444,-73.20527779999999,Bridgeport,6605.0,Fairfield County,Connecticut,United States
32.7152778,-117.1563889,San Diego,92101.0,San Diego County,California,United States
42.5802778,-83.0302778,Sterling Heights,48313.0,Macomb County,Michigan,United States
43.048055600000005,-76.1477778,Syracuse,13202.0,Onondaga County,New York,United States
43.048055600000005,-76.1477778,Syracuse,13202.0,Onondaga County,New York,United States
38.8338889,-104.8208333,Colorado Springs,80903.0,El Paso County,Colorado,United States
32.9975,-87.63,Moundville,35474.0,Hale County,Alabama,United States
40.7141667,-74.0063889,New York City (Bronx),10007.0,New York County,New York,United States
32.3122222,-106.7777778,Las Cruces,88001.0,Doña Ana County,New Mexico,United States
37.7305556,-88.9330556,Marion,62959.0,Williamson County,Illinois,United States
37.3394444,-121.8938889,San Jose,95110.0,Santa Clara County,California,United States
33.4483333,-112.07333329999999,Phoenix,85004.0,Maricopa County,Arizona,United States
46.6022222,-120.5047222,Yakima,98901.0,Yakima County,Washington,United States
30.266944399999996,-97.7427778,Austin,78701.0,Travis County,Texas,United States
36.343611100000004,-83.2841667,Bean Station,37708.0,Grainger County,Tennessee,United States
46.82194439999999,-123.095,Rochester,98579.0,Thurston County,Washington,United States
41.1147222,-74.15,Suffern,10901.0,Rockland County,New York,United States
33.7397222,-116.41194440000001,Rancho Mirage,92270.0,Riverside County,California,United States
28.0777778,-82.76388890000001,Palm Harbor,34683.0,Pinellas County,Florida,United States
41.4488889,-82.7080556,Sandusky,44870.0,Erie County,Ohio,United States
38.6272222,-90.1977778,St. Louis County,63101.0,,Missouri,United States
40.978055600000005,-81.7822222,Rittman,44270.0,Wayne County,Ohio,United States
44.49055560000001,-73.11138890000001,Essex Junction,5452.0,Chittenden County,Vermont,United States
29.993888899999998,-90.2416667,Kenner,70062.0,Jefferson Parish,Louisiana,United States
39.7463889,-84.2866667,Drexel,45417.0,Montgomery County,Ohio,United States
42.7647222,-71.44027779999999,Hudson,3051.0,Hillsborough County,New Hampshire,United States
42.9275,-83.63,Grand Blanc,48439.0,Genesee County,Michigan,United States
44.779166700000005,-93.3361111,Savage,55378.0,Scott County,Minnesota,United States
42.4775,-83.0277778,Warren,48015.0,Macomb County,Michigan,United States
42.3086111,-83.48222220000001,Canton,48187.0,Wayne County,Michigan,United States
39.16111110000001,-80.3522222,Lost Creek,26385.0,Harrison County,West Virginia,United States
42.7647222,-71.44027779999999,Hudson,3051.0,Hillsborough County,New Hampshire,United States
33.849166700000005,-118.3875,Redondo Beach,90277.0,Los Angeles County,California,United States
42.6525,-73.7566667,Albany,12210.0,Albany County,New York,United States
26.705277799999998,-80.0366667,West Palm Beach,33480.0,Palm Beach County,Florida,United States
38.678611100000005,-121.2247222,Orangevale,95662.0,Sacramento County,California,United States
44.8277778,-92.9436111,Cottage Grove,55016.0,Washington County,Minnesota,United States
34.1361111,-117.86444440000001,Glendora,91741.0,Los Angeles County,California,United States
33.0416667,-116.8672222,Ramona,92065.0,San Diego County,California,United States
37.595833299999995,-122.01805559999998,Union City,94587.0,Alameda County,California,United States
37.8902778,-88.3030556,Omaha,62871.0,Gallatin County,Illinois,United States
36.0397222,-114.9811111,Henderson,89015.0,Clark County,Nevada,United States
37.6775,-113.0611111,Cedar City,84720.0,Iron County,Utah,United States
41.60055560000001,-93.60888890000001,Des Moines,50316.0,Polk County,Iowa,United States
41.6361111,-70.93472220000001,New Bedford,2740.0,Bristol County,Massachusetts,United States
41.3325,-73.20777779999999,Monroe,6468.0,Fairfield County,Connecticut,United States
33.9133333,-78.3041667,Holden Beach,28462.0,Brunswick County,North Carolina,United States
37.762222200000004,-84.8433333,Harrodsburg,40330.0,Mercer County,Kentucky,United States
